Date,Open,High,Low,Close,Volume,Market Cap
"Jan 01, 2017",4.33,4.52,4.33,4.51,11337500,212691000
"Jan 02, 2017",4.52,4.74,4.48,4.65,14595300,222154000
"Jan 03, 2017",4.66,4.73,4.56,4.63,10055700,228878000
"Jan 04, 2017",4.63,4.84,4.63,4.84,13762400,227855000
"Jan 05, 2017",4.91,4.95,4.23,4.29,19196000,241730000
"Jan 06, 2017",4.3,4.35,3.84,3.86,11063700,211689000
"Jan 07, 2017",3.86,3.96,3.61,3.96,14628400,190143000
"Jan 08, 2017",3.96,4.02,3.9,3.99,11728600,194906000
"Jan 09, 2017",4.0,4.36,3.93,4.3,11165200,196828000
"Jan 10, 2017",4.3,4.68,4.29,4.59,15157900,211857000
"Jan 11, 2017",4.6,4.64,3.8,3.85,21863300,226517000
"Jan 12, 2017",3.84,4.02,3.78,3.96,13690900,189108000
"Jan 13, 2017",3.95,3.96,3.8,3.89,7720620,194684000
"Jan 14, 2017",3.89,3.95,3.87,3.9,3999180,191987000
"Jan 15, 2017",3.89,3.95,3.88,3.93,9341360,191859000
"Jan 16, 2017",3.92,3.96,3.87,3.9,8159260,193560000
"Jan 17, 2017",3.91,3.95,3.85,3.94,4816480,192814000
"Jan 18, 2017",3.94,3.95,3.78,3.84,4321020,194678000
"Jan 19, 2017",3.84,3.93,3.81,3.86,4090650,189782000
"Jan 20, 2017",3.86,3.91,3.84,3.89,3427180,190693000
"Jan 21, 2017",3.89,3.92,3.89,3.9,2717700,192408000
"Jan 22, 2017",3.9,3.92,3.82,3.84,2630830,192953000
"Jan 23, 2017",3.86,3.86,3.82,3.84,2725110,190717000
"Jan 24, 2017",3.84,3.84,3.78,3.79,2629220,189741000
"Jan 25, 2017",3.79,3.8,3.69,3.71,6863540,187625000
"Jan 26, 2017",3.71,3.84,3.71,3.83,5817220,183873000
"Jan 27, 2017",3.84,3.86,3.81,3.86,5049680,190149000
"Jan 28, 2017",3.85,3.87,3.84,3.85,3305270,190872000
"Jan 29, 2017",3.85,3.86,3.84,3.85,2804420,190873000
